,flare_id,att_in,GOES_flux,start_UTC,peak_UTC,end_UTC,4-10 keV,10-15 keV,number_available_files,available_file_request_IDs,solo_lat,solo_lon,solo_AU_distance,15-25 keV,25-50 keV,50-84 keV,GOES_class,Request IDs,aux_paths,pixel_paths,flare ID,STIX MAX X BP COORD,STIX MAX Y BP COORD,time shift,request ID,X flare loc,Y flare loc,FWDFIT X SIGMA,FWDFIT Y SIGMA,MAX X COORD BP,MAX Y COORD BP,Earth X,Earth Y
0,2211090050,False,6.073233294046076e-07,2022-11-09T00:44:44.012,2022-11-09 00:50:20.013,2022-11-09T00:52:56.013,1215,271,1,[2211090305],9.180063053248096,-24.156919998505145,0.5908732200441875,135,799,463,B6.1,2211090305,./aux_data/solo_L2_stix-aux-ephemeris_20221109_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221109T004455-20221109T005311_V01_2211090305-54678.fits,2211090050,97.614,35.5447,198.2067463028811,2211090305,-15.3443,181.459,0.918372,1.0071,-16.4158,180.574,-382.78129634051584,187.11599702520166
3,2211090720,False,9.645385716794408e-07,2022-11-09T07:18:12.052,2022-11-09 07:20:44.052,2022-11-09T07:28:40.053,2431,247,1,[2211091049],9.176524978101932,-23.91078127187012,0.5941368169773811,115,799,463,B9.6,2211091049,./aux_data/solo_L2_stix-aux-ephemeris_20221109_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221109T071623-20221109T073054_V01_2211091049-54681.fits,2211090720,-202.187622,-1784.592041,196.524467,2211091049,359.304382,523.129578,0.48456,0.617333,359.168732,522.427246,-133.26531364326365,381.172752931791
4,2211090908,False,6.582637865903962e-07,2022-11-09T08:58:40.062,2022-11-09 09:08:44.063,2022-11-09T09:14:56.064,607,135,1,[2211096407],9.175424384764352,-23.84369536729793,0.5950370186988688,107,863,463,B6.6,2211096407,./aux_data/solo_L2_stix-aux-ephemeris_20221109_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221109T085854-20221109T091512_V01_2211096407-54682.fits,2211090908,-193.186462,-1797.633179,196.08491,2211096407,377.920044,529.196899,1.762542,2.026066,374.929199,529.79126,-119.78063402650878,384.75651750962294
5,2211090958,False,6.191904162733408e-07,2022-11-09T09:55:28.068,2022-11-09 09:58:44.069,2022-11-09T10:06:04.069,607,75,1,[2211091409],9.1748972552341,-23.81278326192603,0.5954533906487189,75,799,463,B6.2,2211091409,./aux_data/solo_L2_stix-aux-ephemeris_20221109_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221109T095530-20221109T100628_V01_2211091409-54683.fits,2211090958,-218.136597,-2244.614746,195.855872,2211091409,824.235107,503.754547,1.559922,2.214852,822.638184,496.840912,170.80922306110142,354.4325255249308
6,2211091013,False,6.162407544252346e-07,2022-11-09T10:11:28.070,2022-11-09 10:13:24.070,2022-11-09T10:16:24.070,735,115,1,[2211091673],9.174740528857562,-23.803733217164336,0.5955754796642182,75,799,463,B6.2,2211091673,./aux_data/solo_L2_stix-aux-ephemeris_20221109_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221109T101108-20221109T101659_V01_2211091673-54684.fits,2211091013,-274.121002,-1829.591797,195.800365,2211091673,407.907379,450.271484,1.241306,1.20759,407.16391,447.88031,-109.15910734329373,338.2020671645017
7,2211091047,False,8.467953307444986e-07,2022-11-09T10:44:56.073,2022-11-09 10:47:40.074,2022-11-09T10:55:04.074,1343,367,1,[2211095700],9.174370653510008,-23.782619886783262,0.5958606417141283,183,799,431,B8.5,2211095700,./aux_data/solo_L2_stix-aux-ephemeris_20221109_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221109T104319-20221109T105623_V01_2211095700-50784.fits,2211091047,-192.98877,-1811.104614,195.648503,2211095700,393.79715,531.288635,1.462254,0.969055,390.689453,529.058594,-108.4693460194394,386.0483557727643
9,2211091328,False,1.071856218004541e-06,2022-11-09T13:25:32.090,2022-11-09 13:28:12.090,2022-11-09T13:34:48.091,2687,303,1,[2211095251],9.17256916914116,-23.684281503828345,0.5971950350493931,167,799,463,C1.1,2211095251,./aux_data/solo_L2_stix-aux-ephemeris_20221109_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221109T132350-20221109T133655_V01_2211095251-54685.fits,2211091328,-200.155457,-1847.456665,194.968061,2211095251,437.177948,520.866089,0.605197,0.776851,430.427734,519.76178,-80.57252692990005,379.5633818474556
10,2211091515,False,1.004953105621098e-06,2022-11-09T14:19:20.095,2022-11-09 15:15:20.102,2022-11-09T15:20:44.102,2687,231,1,[2211098407],9.171304499824718,-23.61917794498703,0.5980841395862289,83,863,495,C1.0,2211098407,./aux_data/solo_L2_stix-aux-ephemeris_20221109_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221109T151116-20221109T152212_V01_2211098407-55149.fits,2211091515,-522.54425,-1477.140991,194.517963,2211098407,59.687206,208.338959,0.468242,0.516538,56.764156,202.729126,-331.3634612872265,203.87888982475988
11,2211091554,False,7.068385912134545e-07,2022-11-09T15:50:44.105,2022-11-09 15:54:32.105,2022-11-09T16:06:36.107,1087,135,1,[2211099586],9.17082938062701,-23.59546076695437,0.5984091785924208,91,863,463,B7.1,2211099586,./aux_data/solo_L2_stix-aux-ephemeris_20221109_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221109T155052-20221109T160646_V01_2211099586-54687.fits,2211091554,-560.5755,-1566.434204,194.340023,2211099586,148.350647,170.063461,2.465209,3.00658,145.886475,162.096085,-282.5706999213435,179.60007367417535
13,2211091801,False,1.2919728078486514e-06,2022-11-09T18:00:12.118,2022-11-09 18:01:48.118,2022-11-09T18:03:52.118,4351,399,2,"[2211090288, 2211091630]",9.169241504408376,-23.518843391270707,0.5994634020769887,115,799,431,C1.3,2211090288,./aux_data/solo_L2_stix-aux-ephemeris_20221109_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221109T175345-20221109T182034_V01_2211090288-54689.fits,2211091801,-588.752502,-1798.474243,193.797962,2211090288,384.816711,130.094406,0.410779,0.399689,380.256226,129.448929,-142.0057709387038,150.59645943689938
