,flare_id,att_in,GOES_class,GOES_flux,start_UTC,peak_UTC,end_UTC,4-10 keV,10-15 keV,15-25 keV,25-50 keV,50-84 keV,number_available_files,available_file_request_IDs,solo_lat,solo_lon,solo_AU_distance,Request IDs,aux_paths,pixel_paths,flare ID,STIX MAX X BP COORD,STIX MAX Y BP COORD,time shift,request ID,X flare loc,Y flare loc,FWDFIT X SIGMA,FWDFIT Y SIGMA,MAX X COORD BP,MAX Y COORD BP,Earth X,Earth Y
0,2211090050,False,B6.1,6.073233294046076e-07,2022-11-09T00:44:44.012,2022-11-09 00:50:20.013,2022-11-09T00:52:56.013,1215,271,135,799,463,1,[2211090305],9.180063053248096,-24.156919998505145,0.5908732200441875,2211090305,./aux_data/solo_L2_stix-aux-ephemeris_20221109_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221109T004455-20221109T005311_V01_2211090305-54678.fits,2211090050,97.614,35.5447,198.2067463028811,2211090305,-15.344,181.46,1.3787,0.866219,-16.4158,180.574,-382.7810734589584,187.1165820422712
2,2211090908,False,B6.6,6.582637865903962e-07,2022-11-09T08:58:40.062,2022-11-09 09:08:44.063,2022-11-09T09:14:56.064,607,135,107,863,463,1,[2211096407],9.175424384764352,-23.84369536729793,0.5950370186988688,2211096407,./aux_data/solo_L2_stix-aux-ephemeris_20221109_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221109T085854-20221109T091512_V01_2211096407-54682.fits,2211090908,-193.186462,-1797.633179,196.08491,2211096407,377.918457,529.196228,1.641696,2.040093,374.929199,529.79126,-119.78168585454114,384.75616925500987
3,2211090958,False,B6.2,6.191904162733408e-07,2022-11-09T09:55:28.068,2022-11-09 09:58:44.069,2022-11-09T10:06:04.069,607,75,75,799,463,1,[2211091409],9.1748972552341,-23.81278326192603,0.5954533906487189,2211091409,./aux_data/solo_L2_stix-aux-ephemeris_20221109_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221109T095530-20221109T100628_V01_2211091409-54683.fits,2211090958,-218.136597,-2244.614746,195.855872,2211091409,824.236328,503.753784,1.447266,2.20398,822.638184,496.840912,170.80998910523974,354.4320266427381
4,2211091554,False,B7.1,7.068385912134545e-07,2022-11-09T15:50:44.105,2022-11-09 15:54:32.105,2022-11-09T16:06:36.107,1087,135,91,863,463,1,[2211099586],9.17082938062701,-23.59546076695437,0.5984091785924208,2211099586,./aux_data/solo_L2_stix-aux-ephemeris_20221109_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221109T155052-20221109T160646_V01_2211099586-54687.fits,2211091554,-560.5755,-1566.434204,194.340023,2211099586,148.352203,170.061981,2.744007,2.867299,145.886475,162.096085,-282.569884553086,179.59916062688313
6,2211091958,False,C4.4,4.366501798358513e-06,2022-11-09T19:34:00.128,2022-11-09 19:58:36.130,2022-11-09T23:16:24.150,8703,495,231,863,463,1,[2211092397],9.167723689181097,-23.44903975601312,0.6004295118567262,2211092397,./aux_data/solo_L2_stix-aux-ephemeris_20221109_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221109T194523-20221109T202415_V01_2211092397-54645.fits,2211091958,-1665.909424,2307.320801,193.301711,2211092397,-854.139832,-920.446228,0.505462,0.338237,-856.22876,-920.849854,-737.7875007670373,-495.12285079562224
7,2211100208,False,B6.1,6.083464541006833e-07,2022-11-10T02:06:48.168,2022-11-10 02:08:36.168,2022-11-10T02:17:00.169,1087,271,91,799,463,1,[2211108453],9.162539824034727,-23.23111948835333,0.6034810144106053,2211108453,./aux_data/solo_L2_stix-aux-ephemeris_20221110_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221110T020506-20221110T021359_V01_2211108453-54650.fits,2211100208,103.399597,-244.377731,191.768032,2211108453,261.750977,195.509872,4.143073,8.529701,249.142883,192.884811,-207.41910735168494,193.88030849384444
10,2211100844,False,B8.1,8.130160722430446e-07,2022-11-10T08:40:36.208,2022-11-10 08:44:52.209,2022-11-10T08:48:08.209,1087,167,75,799,431,1,[2211106426],9.156370470156087,-23.00304881459755,0.6067340037737566,2211106426,./aux_data/solo_L2_stix-aux-ephemeris_20221110_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221110T084040-20221110T084819_V01_2211106426-54695.fits,2211100844,403.648987,-636.924744,190.115018,2211106426,654.651917,481.418579,0.863806,0.852569,647.502808,479.631714,73.42728835741637,354.6257798665056
12,2211101252,False,B9.0,9.004963317238435e-07,2022-11-10T12:43:04.033,2022-11-10 12:52:36.034,2022-11-10T13:08:08.036,735,91,83,863,463,1,[2211106153],9.152198559811223,-22.863214845409743,0.6087596529931045,2211106153,./aux_data/solo_L2_stix-aux-ephemeris_20221110_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221110T124320-20221110T130822_V01_2211106153-54698.fits,2211101252,97.88652,-574.613037,189.067158,2211106153,596.165222,159.603806,6.410677,5.082739,581.614319,175.281036,10.411976340574123,164.12840043803365
13,2211101536,False,B7.5,7.520339408984e-07,2022-11-10T15:34:20.051,2022-11-10 15:36:28.051,2022-11-10T15:40:28.051,607,99,75,799,431,1,[2211106863],9.149308812457544,-22.77186363483344,0.6100961770019762,2211106863,./aux_data/solo_L2_stix-aux-ephemeris_20221110_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221110T153424-20221110T154038_V01_2211106863-54699.fits,2211101536,153.918671,-541.924011,188.394953,2211106863,551.306274,234.831223,4.866035,3.295064,548.544373,230.547623,-12.232342508621514,211.69719593730906
15,2211101859,False,B7.6,7.608665555380867e-07,2022-11-10T18:58:20.071,2022-11-10 18:59:48.072,2022-11-10T19:04:36.072,607,107,83,863,431,1,[2211109483],9.145581532788617,-22.659765253574506,0.6117508387635027,2211109483,./aux_data/solo_L2_stix-aux-ephemeris_20221110_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221110T185840-20221110T190324_V01_2211109483-54654.fits,2211101859,109.166519,-644.697266,187.550701,2211109483,658.70166,186.124435,7.066017,5.643487,650.136047,182.35524,59.49535213818077,178.78214928872634
