flare ID,request ID,X flare loc,Y flare loc,FWDFIT X SIGMA,FWDFIT Y SIGMA,MAX X COORD BP,MAX Y COORD BP
"2211090050","2211090305",-15.3429,181.460,1.02918,1.32733,-16.4158,180.574
2211090720, 2211091049, 359.304596, 523.128906, 0.532592, 0.566841, 359.168732, 522.427246
2211090908, 2211096407, 377.918396, 529.199951, 1.988731, 1.876073, 374.929199, 529.791260
2211090958, 2211091409, 824.236572, 503.752686, 2.422804, 2.067823, 822.638184, 496.840912
2211091013, 2211091673, 407.905670, 450.271332, 1.130224, 1.113955, 407.163910, 447.880310
2211091047, 2211095700, 393.797760, 531.288940, 1.355713, 0.950026, 390.689453, 529.058594
2211091328, 2211095251, 437.177948, 520.866089, 0.605197, 0.776851, 430.427734, 519.761780
2211091515, 2211098407, 59.687206, 208.338959, 0.468242, 0.516538, 56.764156, 202.729126
2211091554, 2211099586, 148.350647, 170.063461, 2.465209, 3.006580, 145.886475, 162.096085
2211091801, 2211090288, 384.816956, 130.094147, 0.482483, 0.433860, 380.256226, 129.448929
2211091823, 2211096527, 373.399780, 108.855179, 1.083235, 1.620003, 372.056335, 105.146362
2211091958, 2211092397, -854.139099, -920.447632, 0.505157, 0.338242, -856.228760, -920.849854
2211100123, 2211109024, 582.604553, 489.148895, 0.630919, 0.743828, 579.010193, 482.508484
2211100208, 2211108453, 261.757050, 195.510300, 4.289047, 9.950316, 249.142883, 192.884811
2211100309, 2211105395, 222.258957, 483.710693, 0.282314, 0.246514, 216.816147, 481.813660
2211100559, 2211109000, 358.382507, 182.901733, 1.051982, 1.924382, 352.513824, 176.256912
2211100617, 2211109000, -1187.787842, -1740.983276, 6.063567, 6.238328, -1193.455200, -1746.129150
2211100844, 2211106426, 654.652893, 481.418274, 0.701845, 0.738352, 647.502808, 479.631714
2211101208, 2211100219, 424.504028, 179.652771, 1.079178, 1.847595, 422.517944, 175.384811
2211101252, 2211106153, 596.161316, 159.603409, 7.698546, 6.182960, 581.614319, 175.281036
2211101536, 2211106863, 551.312195, 234.825546, 5.564608, 3.241608, 548.544373, 230.547623
