,flare_id,att_in,GOES_flux,start_UTC,peak_UTC,end_UTC,4-10 keV,10-15 keV,number_available_files,available_file_request_IDs,solo_lat,solo_lon,solo_AU_distance,15-25 keV,25-50 keV,50-84 keV,GOES_class
9,2211091654,False,5.558739530897583e-07,2022-11-09T16:52:52.111,2022-11-09 16:54:36.111,2022-11-09T16:56:24.111,543,151,0,[],9.170088559447708,-23.559226482244355,0.5989069453495304,151,799,463,B5.6
26,2211102017,False,6.291539875746821e-07,2022-11-10T20:16:04.080,2022-11-10 20:17:00.080,2022-11-10T20:17:48.080,543,83,0,[],9.144125850666518,-22.617565729037324,0.6123779756703539,75,799,431,B6.3
52,2211111028,False,8.997662916954141e-07,2022-11-11T10:27:12.067,2022-11-11 10:28:36.067,2022-11-11T10:30:20.067,671,83,0,[],9.126634506955867,-22.164997499484855,0.6192559304747876,75,863,431,B9.0
92,2211122324,False,8.85113593085407e-07,2022-11-12T23:22:15.894,2022-11-12 23:24:07.894,2022-11-12T23:33:43.895,543,107,0,[],9.069848679270132,-21.093065006153438,0.6368027198814703,75,863,431,B8.9
112,2211131023,False,7.360687845903158e-07,2022-11-13T10:21:47.978,2022-11-13 10:23:15.978,2022-11-13T10:25:31.988,543,151,0,[],9.050122860140977,-20.80180247177441,0.6419254436805827,107,863,463,B7.4
128,2211132236,False,1.2870269756604102e-06,2022-11-13T22:34:32.055,2022-11-13 22:36:32.055,2022-11-13T22:38:04.055,543,75,0,[],9.026800213386933,-20.49181904353901,0.6475714310358328,75,799,431,C1.3
137,2211140109,False,2.375458279857412e-06,2022-11-14T01:08:20.071,2022-11-14 01:09:04.071,2022-11-14T01:09:48.071,1087,75,0,[],9.021773933561613,-20.429148427422945,0.6487388898853953,75,799,431,C2.4
160,2211140937,False,1.2837797385145675e-06,2022-11-14T09:35:12.124,2022-11-14 09:37:04.124,2022-11-14T09:38:40.124,607,107,0,[],9.004616764522547,-20.22482897562486,0.6526095741474606,75,863,431,C1.3
164,2211141217,False,1.1463424698376912e-06,2022-11-14T12:15:56.141,2022-11-14 12:17:08.141,2022-11-14T12:19:12.141,543,135,0,[],8.999080580408965,-20.161833553481642,0.6538236320256944,123,799,431,C1.1
183,2211141901,False,2.705156475713011e-06,2022-11-14T19:00:16.183,2022-11-14 19:01:08.183,2022-11-14T19:01:52.183,735,75,0,[],8.98483832600036,-20.0057358374641,0.6568759851653867,75,799,431,C2.7
186,2211142014,False,1.8682335394260008e-06,2022-11-14T20:13:20.191,2022-11-14 20:14:04.191,2022-11-14T20:15:08.191,543,91,0,[],8.982226816504994,-19.977993954938597,0.6574252084766016,75,799,431,C1.9
