,flare_id,att_in,GOES_flux,start_UTC,peak_UTC,end_UTC,4-10 keV,10-15 keV,number_available_files,available_file_request_IDs,solo_lat,solo_lon,solo_AU_distance,15-25 keV,25-50 keV,50-84 keV,GOES_class
1,2211090134,False,4.459582498839154e-07,2022-11-09T01:33:56.017,2022-11-09 01:34:32.017,2022-11-09T01:36:08.017,303,57,0,[],9.179697575189222,-24.128764653080566,0.5912434633272944,67,799,431,B4.5
2,2211090222,False,4.598592227011977e-07,2022-11-09T02:20:00.022,2022-11-09 02:22:00.023,2022-11-09T02:23:44.023,303,57,0,[],9.17929502000996,-24.09861081048257,0.5916408578868481,83,799,463,B4.6
3,2211090403,False,5.429726570582716e-07,2022-11-09T04:02:36.032,2022-11-09 04:03:24.032,2022-11-09T04:04:24.032,271,61,0,[],9.178400343518115,-24.0344799658165,0.5924890484474652,75,799,431,B5.4
4,2211090428,False,6.059365773580794e-07,2022-11-09T04:27:24.035,2022-11-09 04:28:24.035,2022-11-09T04:32:36.035,303,57,0,[],9.17817253004515,-24.018728050804384,0.5926980139913949,83,863,463,B6.1
6,2211090514,False,6.404825967365468e-07,2022-11-09T05:13:52.039,2022-11-09 05:14:32.039,2022-11-09T05:17:00.040,303,57,0,[],9.177744665477794,-23.989722079103046,0.5930834642378684,75,799,431,B6.4
9,2211090822,False,5.100922066958447e-07,2022-11-09T08:20:40.059,2022-11-09 08:22:12.059,2022-11-09T08:23:56.059,303,53,0,[],9.175904979348143,-23.87254725422042,0.5946492946014551,75,799,431,B5.1
11,2211090926,False,4.86860869841621e-07,2022-11-09T09:25:00.065,2022-11-09 09:26:00.065,2022-11-09T09:27:16.065,335,61,0,[],9.175243603637885,-23.833009951404847,0.5951808335957193,91,799,463,B4.9
15,2211091201,False,5.658623081217229e-07,2022-11-09T11:59:52.081,2022-11-09 12:01:08.081,2022-11-09T12:02:40.081,399,83,0,[],9.173560225027899,-23.737499039181955,0.5964716303134873,91,799,431,B5.7
19,2211091537,False,5.177249136067985e-07,2022-11-09T15:36:44.104,2022-11-09 15:37:28.104,2022-11-09T15:38:44.104,303,67,0,[],9.171037047238325,-23.605779767279614,0.5982676837298251,75,799,431,B5.2
21,2211091613,False,5.385535928326135e-07,2022-11-09T16:11:44.107,2022-11-09 16:13:56.107,2022-11-09T16:15:28.108,303,57,0,[],9.170591803644978,-23.58374375955566,0.5985699835879387,75,799,431,B5.4
22,2211091637,False,4.938012807542691e-07,2022-11-09T16:35:44.110,2022-11-09 16:37:00.110,2022-11-09T16:38:16.110,303,61,0,[],9.170307225035348,-23.56982989957362,0.5987611329080313,75,799,463,B4.9
23,2211091654,False,5.558739530897583e-07,2022-11-09T16:52:52.111,2022-11-09 16:54:36.111,2022-11-09T16:56:24.111,543,151,0,[],9.170088559447708,-23.559226482244355,0.5989069453495304,151,799,463,B5.6
25,2211091720,False,4.71373681421028e-07,2022-11-09T17:19:00.114,2022-11-09 17:20:00.114,2022-11-09T17:21:40.114,367,91,0,[],9.169770653518905,-23.54394350869427,0.5991173253667429,75,799,431,B4.7
28,2211091847,False,4.593489109083748e-07,2022-11-09T18:46:48.123,2022-11-09 18:47:40.123,2022-11-09T18:48:32.123,335,61,0,[],9.168652340844668,-23.49137359176575,0.5998429490007386,67,799,431,B4.6
29,2211091918,False,4.938524398312438e-07,2022-11-09T19:17:08.126,2022-11-09 19:18:16.126,2022-11-09T19:20:12.126,335,61,0,[],9.168254330590367,-23.473089061707867,0.6000960481353251,75,799,431,B4.9
30,2211091929,False,0.0,2022-11-09T19:29:00.127,2022-11-09 19:29:16.127,2022-11-09T19:29:28.127,271,67,0,[],9.168110289587428,-23.466524388641744,0.6001870087806708,67,735,431,
32,2211092344,False,6.033340014255373e-07,2022-11-09T23:43:44.153,2022-11-09 23:44:40.153,2022-11-09T23:45:16.153,335,75,0,[],9.164623598175503,-23.31531701494157,0.6022955713286172,75,799,431,B6.0
34,2211100101,False,4.812530391973269e-07,2022-11-10T01:00:52.161,2022-11-10 01:01:20.161,2022-11-10T01:03:00.162,335,67,0,[],9.163524225897985,-23.270378142470065,0.6029272592631523,75,799,463,B4.8
36,2211100141,False,5.103989337840176e-07,2022-11-10T01:40:28.165,2022-11-10 01:41:40.165,2022-11-10T01:42:40.165,335,67,0,[],9.1629361916227,-23.246819443889592,0.6032593469450581,83,799,431,B5.1
38,2211100221,False,6.004930810377118e-07,2022-11-10T02:19:52.169,2022-11-10 02:21:36.169,2022-11-10T02:23:32.170,399,75,0,[],9.162347451300317,-23.223550645192176,0.6035879814241939,75,799,431,B6.0
39,2211100249,False,6.385941446751531e-07,2022-11-10T02:45:44.172,2022-11-10 02:49:00.172,2022-11-10T02:51:24.172,335,61,0,[],9.161939739468947,-23.20761722841428,0.6038133798877734,75,863,463,B6.4
40,2211100258,False,6.73151419050555e-07,2022-11-10T02:56:16.173,2022-11-10 02:58:36.173,2022-11-10T03:01:24.173,399,67,0,[],9.161796170899086,-23.202040932587295,0.6038923338856428,75,799,431,B6.7
42,2211100403,False,6.341711582535936e-07,2022-11-10T03:58:24.179,2022-11-10 04:03:36.180,2022-11-10T04:06:20.180,399,75,0,[],9.160814283059228,-23.1643694506584,0.6044266762759785,75,799,463,B6.3
44,2211100438,False,6.320439069895656e-07,2022-11-10T04:37:36.183,2022-11-10 04:38:20.183,2022-11-10T04:39:36.183,367,57,0,[],9.160282617334614,-23.144299750760638,0.6047120338645784,75,799,431,B6.3
47,2211100638,False,8.644155400361342e-07,2022-11-10T06:37:12.196,2022-11-10 06:38:04.196,2022-11-10T06:39:12.196,367,57,0,[],9.158412789656738,-23.075436308998917,0.6056947994467811,75,799,463,B8.6
48,2211100701,False,6.947694259906712e-07,2022-11-10T07:00:20.198,2022-11-10 07:01:32.198,2022-11-10T07:04:44.198,463,83,0,[],9.158039621030548,-23.06199787359799,0.605887244611789,83,863,431,B6.9
50,2211100810,False,6.040121434125467e-07,2022-11-10T08:10:00.205,2022-11-10 08:10:56.205,2022-11-10T08:11:48.205,303,57,0,[],9.156923246995422,-23.022366393644745,0.606456056872565,75,799,431,B6.0
