flare_id,duration,att_in,peak_UTC,LC0_BKG,_id,GOES_class,GOES_flux,CFL_X_arcsec,CFL_Y_arcsec,start_UTC,end_UTC,LC0_PEAK_COUNTS_4S,LC0_BKG_COUNTS_4S,LC1_PEAK_COUNTS_4S,LC1_BKG_COUNTS_4S,LC2_PEAK_COUNTS_4S,LC2_BKG_COUNTS_4S,LC3_PEAK_COUNTS_4S,LC3_BKG_COUNTS_4S,LC4_PEAK_COUNTS_4S,LC4_BKG_COUNTS_4S,number_available_files,available_file_request_IDs
2211090050,492,False,2022-11-09 00:50:20.013,217.6887883551328,18265,B6.1,6.073233294046076e-07,,,2022-11-09T00:44:44.012,2022-11-09T00:52:56.013,1215,231.0,271,41.0,135,57.0,799,735.0,463,399.0,1,[2211090305]
2211090720,628,False,2022-11-09 07:20:44.052,217.6901663742929,18273,B9.6,9.645385716794408e-07,,,2022-11-09T07:18:12.052,2022-11-09T07:28:40.053,2431,231.0,247,45.0,115,57.0,799,735.0,463,399.0,1,[2211091049]
2211090908,976,False,2022-11-09 09:08:44.063,217.6901663742929,18275,B6.6,6.582637865903962e-07,,,2022-11-09T08:58:40.062,2022-11-09T09:14:56.064,607,231.0,135,45.0,107,57.0,863,735.0,463,399.0,1,[2211096407]
2211090958,636,False,2022-11-09 09:58:44.069,217.6901663742929,18277,B6.2,6.191904162733408e-07,,,2022-11-09T09:55:28.068,2022-11-09T10:06:04.069,607,231.0,75,45.0,75,57.0,799,735.0,463,399.0,1,[2211091409]
2211091013,296,False,2022-11-09 10:13:24.070,217.6901663742929,18278,B6.2,6.162407544252346e-07,,,2022-11-09T10:11:28.070,2022-11-09T10:16:24.070,735,231.0,115,45.0,75,57.0,799,735.0,463,399.0,1,[2211091673]
2211091047,608,False,2022-11-09 10:47:40.074,223.42659842299972,18279,B8.5,8.467953307444986e-07,,,2022-11-09T10:44:56.073,2022-11-09T10:55:04.074,1343,271.0,367,45.0,183,57.0,799,735.0,431,399.0,1,[2211095700]
2211091328,556,False,2022-11-09 13:28:12.090,223.42659842299972,18282,C1.1,1.071856218004541e-06,,,2022-11-09T13:25:32.090,2022-11-09T13:34:48.091,2687,271.0,303,45.0,167,57.0,799,735.0,463,399.0,1,[2211095251]
2211091515,3684,False,2022-11-09 15:15:20.102,223.42659842299972,18283,C1.0,1.004953105621098e-06,,,2022-11-09T14:19:20.095,2022-11-09T15:20:44.102,2687,271.0,231,45.0,83,57.0,863,735.0,495,399.0,1,[2211098407]
2211091554,952,False,2022-11-09 15:54:32.105,223.42659842299972,18285,B7.1,7.068385912134545e-07,,,2022-11-09T15:50:44.105,2022-11-09T16:06:36.107,1087,271.0,135,45.0,91,57.0,863,735.0,463,399.0,1,[2211099586]
2211091654,212,False,2022-11-09 16:54:36.111,223.42659842299972,18288,B5.6,5.558739530897583e-07,,,2022-11-09T16:52:52.111,2022-11-09T16:56:24.111,543,271.0,151,45.0,151,57.0,799,735.0,463,399.0,0,[]
2211091801,220,False,2022-11-09 18:01:48.118,223.42659842299972,18291,C1.3,1.2919728078486514e-06,,,2022-11-09T18:00:12.118,2022-11-09T18:03:52.118,4351,271.0,399,45.0,115,57.0,799,735.0,431,399.0,2,"[2211090288, 2211091630]"
2211091823,564,False,2022-11-09 18:23:24.120,225.3643213554232,18292,B5.4,5.424671485343424e-07,,,2022-11-09T18:20:20.120,2022-11-09T18:29:44.121,671,231.0,83,45.0,75,57.0,799,735.0,431,399.0,1,[2211096527]
2211091958,4064,False,2022-11-09 19:58:36.130,225.3643213554232,18296,C4.4,4.366501798358513e-06,,,2022-11-09T19:34:00.128,2022-11-09T23:16:24.150,8703,231.0,495,45.0,231,57.0,863,735.0,463,399.0,1,[2211092397]
2211100123,356,False,2022-11-10 01:23:16.163,225.3643213554232,18300,B6.7,6.707139732498035e-07,,,2022-11-10T01:21:28.163,2022-11-10T01:27:24.164,1471,231.0,303,45.0,199,57.0,863,735.0,463,399.0,1,[2211109024]
