flare_id,duration,att_in,peak_UTC,LC0_BKG,_id,GOES_class,GOES_flux,CFL_X_arcsec,CFL_Y_arcsec,start_UTC,end_UTC,LC0_PEAK_COUNTS_4S,LC0_BKG_COUNTS_4S,LC1_PEAK_COUNTS_4S,LC1_BKG_COUNTS_4S,LC2_PEAK_COUNTS_4S,LC2_BKG_COUNTS_4S,LC3_PEAK_COUNTS_4S,LC3_BKG_COUNTS_4S,LC4_PEAK_COUNTS_4S,LC4_BKG_COUNTS_4S
0,2211142339,2140,False,2022-11-14T23:39:36.113,277.03155642527105,18631,C2.3,2.2538017674378352e-06,,,2022-11-14T23:23:56.111,2022-11-14T23:59:36.115,3711,271.0,303,45.0,99,57.0,863,735.0,463,399.0
1,2211142324,112,False,2022-11-14T23:24:48.111,271.44915135159016,18639,C2.0,1.959793053174508e-06,,,2022-11-14T23:23:56.111,2022-11-14T23:25:48.111,735,271.0,91,45.0,91,57.0,799,735.0,431,399.0
2,2211142310,112,False,2022-11-14T23:10:52.110,277.03155642527105,18630,C2.2,2.2448430172516964e-06,,,2022-11-14T23:09:56.109,2022-11-14T23:11:48.110,543,271.0,67,45.0,75,57.0,799,735.0,431,399.0
3,2211142250,2924,False,2022-11-14T22:50:36.107,277.03155642527105,18629,C2.9,2.930118625954492e-06,,,2022-11-14T22:19:44.104,2022-11-14T23:08:28.109,6399,271.0,463,45.0,123,57.0,799,735.0,463,399.0
4,2211142151,2296,False,2022-11-14T21:51:20.101,277.03155642527105,18628,C4.4,4.387999979371671e-06,,,2022-11-14T21:29:48.099,2022-11-14T22:08:04.103,29695,271.0,2943,45.0,335,57.0,863,735.0,463,399.0
5,2211142143,60,False,2022-11-14T21:43:12.101,271.44915135159016,18638,C1.8,1.781964101610356e-06,,,2022-11-14T21:42:56.101,2022-11-14T21:43:56.101,863,271.0,83,45.0,67,57.0,799,735.0,431,399.0
6,2211142137,188,False,2022-11-14T21:37:16.100,271.44915135159016,18637,C1.8,1.840374920902832e-06,,,2022-11-14T21:36:04.100,2022-11-14T21:39:12.100,2943,271.0,367,45.0,83,57.0,799,735.0,463,399.0
7,2211142112,960,False,2022-11-14T21:12:44.097,277.03155642527105,18627,C2.6,2.601630058052251e-06,,,2022-11-14T21:10:16.097,2022-11-14T21:26:16.099,10751,271.0,1855,45.0,671,57.0,863,735.0,463,399.0
8,2211142102,152,False,2022-11-14T21:02:28.096,277.03155642527105,18626,C1.7,1.7188428955705604e-06,,,2022-11-14T21:02:00.096,2022-11-14T21:04:32.096,431,271.0,67,45.0,75,57.0,799,735.0,431,399.0
9,2211142040,1256,False,2022-11-14T20:40:16.194,277.03155642527105,18625,C2.4,2.3888007945060963e-06,,,2022-11-14T20:34:36.193,2022-11-14T20:55:32.095,3455,271.0,399,45.0,99,57.0,863,735.0,463,399.0
10,2211142014,108,False,2022-11-14T20:14:04.191,277.03155642527105,18624,C1.9,1.8682335394260008e-06,,,2022-11-14T20:13:20.191,2022-11-14T20:15:08.191,543,271.0,91,45.0,75,57.0,799,735.0,431,399.0
11,2211142005,444,False,2022-11-14T20:05:24.190,277.03155642527105,18623,C2.0,2.0304812551330542e-06,,,2022-11-14T20:02:56.190,2022-11-14T20:10:20.191,927,271.0,99,45.0,75,57.0,799,735.0,463,399.0
12,2211141925,3124,False,2022-11-14T19:25:20.186,277.03155642527105,18622,C5.1,5.123133178130956e-06,,,2022-11-14T19:06:04.184,2022-11-14T19:58:08.189,38911,271.0,5375,45.0,991,57.0,863,735.0,495,399.0
13,2211141901,96,False,2022-11-14T19:01:08.183,277.03155642527105,18621,C2.7,2.705156475713011e-06,,,2022-11-14T19:00:16.183,2022-11-14T19:01:52.183,735,271.0,75,45.0,75,57.0,799,735.0,431,399.0
14,2211141817,60,False,2022-11-14T18:17:52.179,266.4440321096412,18620,C4.1,4.0893478399084415e-06,,,2022-11-14T18:17:24.179,2022-11-14T18:18:24.179,5375,271.0,271,45.0,83,57.0,799,735.0,463,399.0
15,2211141807,512,False,2022-11-14T18:07:52.178,266.4440321096412,18619,C3.5,3.480772420516587e-06,,,2022-11-14T18:05:44.178,2022-11-14T18:14:16.179,4863,271.0,367,45.0,99,57.0,799,735.0,431,399.0
16,2211141757,148,False,2022-11-14T17:57:48.177,266.4440321096412,18618,C1.8,1.8210322423328762e-06,,,2022-11-14T17:57:00.177,2022-11-14T17:59:28.177,863,271.0,83,45.0,67,57.0,799,735.0,431,399.0
17,2211141744,384,False,2022-11-14T17:44:44.176,266.4440321096412,18617,C2.1,2.064417458313983e-06,,,2022-11-14T17:41:28.175,2022-11-14T17:47:52.176,991,271.0,107,45.0,83,57.0,863,735.0,431,399.0
18,2211141726,940,False,2022-11-14T17:26:32.173,266.4440321096412,18616,C5.1,5.111369773658225e-06,,,2022-11-14T17:24:04.173,2022-11-14T17:39:44.175,55295,271.0,7935,45.0,1087,57.0,927,735.0,431,399.0
