_id,subject,purpose,request_type,start_utc,duration,time_bin,detector_mask,pixel_mask,emin,emax,eunit,unique_ids,flare_id_orig
16393.0,Flare 2211090050,Solar Flare,xray-cpd,2022-11-09T00:44:44.012,492,60,0xFFFFFFFF,0x0FF,1,17,1,[2211090305],2211090050
16394.0,Flare 2211090458,Solar Flare,xray-cpd,2022-11-09T04:52:52.037,808,808.0,0xFFFFFFFF,0x0FF,1,13,1,[2211094607],2211090458
16395.0,Flare 2211090551,Solar Flare,xray-cpd,2022-11-09T05:39:48.042,1940,1940.0,0xFFFFFFFF,0x0FF,1,13,1,[2211090238],2211090551
16396.0,Flare 2211090720,Solar Flare,xray-cpd,2022-11-09T07:16:12.052,868,60,0xFFFFFFFF,0x0FF,1,17,1,[2211091049],2211090720
16397.0,Flare 2211090908,Solar Flare,xray-cpd,2022-11-09T08:58:40.062,976,60,0xFFFFFFFF,0x0FF,1,17,1,[2211096407],2211090908
16398.0,Flare 2211090958,Solar Flare,xray-cpd,2022-11-09T09:55:28.068,644,644.0,0xFFFFFFFF,0x0FF,1,13,1,[2211091409],2211090958
16399.0,Flare 2211091013,Solar Flare,xray-cpd,2022-11-09T10:11:08.070,332,332.0,0xFFFFFFFF,0x0FF,1,13,1,[2211091673],2211091013
16400.0,Flare 2211091047,Solar Flare,xray-cpd,2022-11-09T10:43:00,797,4,0xFFFFFFFF,0xFFF,1,17,1,[2211095700],2211091047
16835.0,BKG quiet,Background,xray-cpd,2022-11-09T12:20:00,2880,2880,0xFFFFFFFF,0xFFF,1,31,1,[2211097832],2211091229
17001.0,BKG quiet,Background,xray-cpd,2022-11-09T12:17:26.085,3200,3200,0xFFFFFFFF,0xFFF,1,31,1,[2211098157],2211091229
16401.0,Flare 2211091328,Solar Flare,xray-cpd,2022-11-09T13:23:32.090,796,10,0xFFFFFFFF,0x0FF,1,17,1,[2211095251],2211091328
16402.0,Flare 2211091515,Solar Flare,xray-cpd,2022-11-09T14:16:45,3336,120,0xFFFFFFFF,0x0FF,1,13,1,[2211098403],2211091515
16793.0,Flare 2211091515,Solar Flare,xray-cpd,2022-11-09T15:11:05,657,20,0xFFFFFFFF,0x0FF,1,13,1,[2211098407],2211091515
16403.0,Flare 2211091554,Solar Flare,xray-cpd,2022-11-09T15:50:44.105,952,60,0xFFFFFFFF,0x0FF,1,13,1,[2211099586],2211091554
16404.0,Flare 2211091713,Solar Flare,xray-cpd,2022-11-09T17:10:32.113,468,468.0,0xFFFFFFFF,0x0FF,1,13,1,[2211098388],2211091713
16405.0,Flare 2211091801,Solar Flare,xray-cpd,2022-11-09T17:53:40.118,1604,60,0xFFFFFFFF,0x0FF,1,13,1,[2211090288],2211091801
16794.0,Flare 2211091801,Solar Flare,xray-cpd,2022-11-09T17:55:00,630,4,0xFFFFFFFF,0x0FF,1,17,1,[2211091630],2211091801
16405.0,Flare 2211091801,Solar Flare,xray-cpd,2022-11-09T17:53:40.118,1604,60,0xFFFFFFFF,0x0FF,1,13,1,[2211090288],2211091823
16406.0,Flare 2211091823,Solar Flare,xray-cpd,2022-11-09T18:20:20.120,564,564.0,0xFFFFFFFF,0x0FF,1,13,1,[2211096527],2211091823
16407.0,Flare 2211091958,Solar Flare,xray-cpd,2022-11-09T19:45:12.129,2344,60,0xFFFFFFFF,0x0FF,1,17,1,[2211092397],2211091958
16486.0,L1 @ 0.5s: mf?,Solar Flare,xray-cpd,2022-11-10T00:45:16,526,0.5,0xFFFFFFFF,0xFFF,1,31,1,[2211106008],2211100049
16429.0,Flare 2211100123,Solar Flare,xray-cpd,2022-11-10T01:21:28.163,356,4,0xFFFFFFFF,0x0FF,1,17,1,[2211109024],2211100123
16430.0,Flare 2211100208,Solar Flare,xray-cpd,2022-11-10T02:04:51,540,6,0xFFFFFFFF,0x0FF,1,13,1,[2211108453],2211100208
16431.0,Flare 2211100309,Solar Flare,xray-cpd,2022-11-10T03:04:36.174,1220,60,0xFFFFFFFF,0x0FF,1,13,1,[2211105395],2211100309
16432.0,Flare 2211100412,Solar Flare,xray-cpd,2022-11-10T04:10:24.181,696,696.0,0xFFFFFFFF,0x0FF,1,13,1,[2211100028],2211100412
16433.0,Flare 2211100559,Solar Flare,xray-cpd,2022-11-10T05:10:49,4646,120,0xFFFFFFFF,0x0FF,1,13,1,[2211109000],2211100559
16433.0,Flare 2211100559,Solar Flare,xray-cpd,2022-11-10T05:10:49,4646,120,0xFFFFFFFF,0x0FF,1,13,1,[2211109000],2211100617
16434.0,Flare 2211100737,Solar Flare,xray-cpd,2022-11-10T07:32:36.201,1428,1428.0,0xFFFFFFFF,0x0FF,1,13,1,[2211108932],2211100737
16435.0,Flare 2211100827,Solar Flare,xray-cpd,2022-11-10T08:24:52.207,736,736.0,0xFFFFFFFF,0x0FF,1,13,1,[2211101244],2211100827
16436.0,Flare 2211100844,Solar Flare,xray-cpd,2022-11-10T08:40:36.208,452,60,0xFFFFFFFF,0x0FF,1,13,1,[2211106426],2211100844
16437.0,Flare 2211100859,Solar Flare,xray-cpd,2022-11-10T08:55:16.210,636,636.0,0xFFFFFFFF,0x0FF,1,13,1,[2211102153],2211100859
16438.0,Flare 2211101208,Solar Flare,xray-cpd,2022-11-10T11:55:40.028,2312,60,0xFFFFFFFF,0x0FF,1,17,1,[2211100219],2211101208
16439.0,Flare 2211101252,Solar Flare,xray-cpd,2022-11-10T12:43:04.033,1504,120,0xFFFFFFFF,0x0FF,1,13,1,[2211106153],2211101252
16440.0,Flare 2211101536,Solar Flare,xray-cpd,2022-11-10T15:34:20.051,368,368.0,0xFFFFFFFF,0x0FF,1,13,1,[2211106863],2211101536
16441.0,Flare 2211101554,Solar Flare,xray-cpd,2022-11-10T15:46:12.052,892,892.0,0xFFFFFFFF,0x0FF,1,13,1,[2211101482],2211101554
16442.0,Flare 2211101713,Solar Flare,xray-cpd,2022-11-10T17:09:16,488,1,0xFFFFFFFF,0x0FF,1,22,1,[2211107586],2211101713
16443.0,Flare 2211101812,Solar Flare,xray-cpd,2022-11-10T18:07:03,550,2,0xFFFFFFFF,0x0FF,1,20,1,[2211102195],2211101812
16444.0,Flare 2211101900,Solar Flare,xray-cpd,2022-11-10T18:58:30,292,292,0xFFFFFFFF,0x0FF,1,13,1,[2211109483],2211101859
16445.0,Flare 2211101918,Solar Flare,xray-cpd,2022-11-10T19:10:28.073,1660,300,0xFFFFFFFF,0x0FF,1,13,1,[2211104239],2211101918
16446.0,Flare 2211102118,Solar Flare,xray-cpd,2022-11-10T21:14:32.086,416,8,0xFFFFFFFF,0x0FF,1,17,1,[2211100333],2211102118
16447.0,Flare 2211102137,Solar Flare,xray-cpd,2022-11-10T21:25:40.087,1476,60,0xFFFFFFFF,0x0FF,1,17,1,[2211105208],2211102137
16447.0,Flare 2211102137,Solar Flare,xray-cpd,2022-11-10T21:25:40.087,1476,60,0xFFFFFFFF,0x0FF,1,17,1,[2211105208],2211102150
16448.0,Flare 2211102254,Solar Flare,xray-cpd,2022-11-10T22:49:48.096,732,732.0,0xFFFFFFFF,0x0FF,1,13,1,[2211108230],2211102254
16449.0,Flare 2211102313,Solar Flare,xray-cpd,2022-11-10T23:09:44.097,688,688.0,0xFFFFFFFF,0x0FF,1,13,1,[2211102795],2211102313
16450.0,Flare 2211102357,Solar Flare,xray-cpd,2022-11-10T23:45:32.101,1520,60,0xFFFFFFFF,0x0FF,1,13,1,[2211105581],2211102357
16451.0,Flare 2211110015,Solar Flare,xray-cpd,2022-11-11T00:13:12.104,324,60,0xFFFFFFFF,0x0FF,1,13,1,[2211113481],2211110015
16452.0,Flare 2211110040,Solar Flare,xray-cpd,2022-11-11T00:20:16.105,1660,60,0xFFFFFFFF,0x0FF,1,13,1,[2211110188],2211110040
16453.0,Flare 2211110147,Solar Flare,xray-cpd,2022-11-11T01:24:16.111,2528,10,0xFFFFFFFF,0x0FF,1,17,1,[2211116520],2211110147
17385.0,HXI flare: 0.5s,Solar Flare,xray-cpd,2022-11-11T01:24:54,915,0.5,0xFFFFFFFF,0xFFF,1,31,1,[2211113411],2211110147
17386.0,HXI flare: 0.5s,Solar Flare,xray-cpd,2022-11-11T01:44:45,650,0.5,0xFFFFFFFF,0xFFF,1,31,1,[2211118377],2211110147
16454.0,Flare 2211110313,Solar Flare,xray-cpd,2022-11-11T02:40:40.119,4012,60,0xFFFFFFFF,0x0FF,1,17,1,[2211119603],2211110313
17387.0,HXI flare: 0.5s,Solar Flare,xray-cpd,2022-11-11T03:06:18,1127,0.5,0xFFFFFFFF,0xFFF,1,31,1,[2211110829],2211110313
16455.0,Flare 2211110437,Solar Flare,xray-cpd,2022-11-11T04:29:16,1218,10,0xFFFFFFFF,0x0FF,1,22,1,[2211117374],2211110437
16456.0,Flare 2211110510,Solar Flare,xray-cpd,2022-11-11T05:06:12.034,484,4,0xFFFFFFFF,0x0FF,1,17,1,[2211113005],2211110510
16457.0,Flare 2211110522,Solar Flare,xray-cpd,2022-11-11T05:20:43,433,4,0xFFFFFFFF,0x0FF,1,13,1,[2211116049],2211110522
16458.0,Flare 2211110539,Solar Flare,xray-cpd,2022-11-11T05:36:04.037,408,408.0,0xFFFFFFFF,0x0FF,1,13,1,[2211113684],2211110539
16459.0,Flare 2211110552,Solar Flare,xray-cpd,2022-11-11T05:42:20,1680,20,0xFFFFFFFF,0x0FF,1,17,1,[2211114587],2211110539
16459.0,Flare 2211110552,Solar Flare,xray-cpd,2022-11-11T05:42:20,1680,20,0xFFFFFFFF,0x0FF,1,17,1,[2211114587],2211110544
16459.0,Flare 2211110552,Solar Flare,xray-cpd,2022-11-11T05:42:20,1680,20,0xFFFFFFFF,0x0FF,1,17,1,[2211114587],2211110552
16494.0,L1 @ 4s,Solar Flare,xray-cpd,2022-11-11T05:47:15,666,4,0xFFFFFFFF,0x0FF,1,26,1,[2211117466],2211110552
16459.0,Flare 2211110552,Solar Flare,xray-cpd,2022-11-11T05:42:20,1680,20,0xFFFFFFFF,0x0FF,1,17,1,[2211114587],2211110605
16460.0,Flare 2211110636,Solar Flare,xray-cpd,2022-11-11T06:34:36.043,432,432.0,0xFFFFFFFF,0x0FF,1,13,1,[2211119787],2211110636
16461.0,Flare 2211110709,Solar Flare,xray-cpd,2022-11-11T06:54:32.045,2624,10,0xFFFFFFFF,0x0FF,1,17,1,[2211111306],2211110709
16493.0,L1 @ 4s,Solar Flare,xray-cpd,2022-11-11T06:54:14,1640,4,0xFFFFFFFF,0x0FF,1,22,1,[2211112659],2211110709
17525.0,HXI flare @ 0.5s,Solar Flare,xray-cpd,2022-11-11T06:54:31,936,0.5,0xFFFFFFFF,0x0FF,1,22,1,[2211119250],2211110709
16462.0,Flare 2211110754,Solar Flare,xray-cpd,2022-11-11T07:42:28.050,1500,60,0xFFFFFFFF,0x0FF,1,17,1,[2211118346],2211110754
16492.0,Flare 2211110754,Solar Flare,xray-cpd,2022-11-11T07:52:02,395,10,0xFFFFFFFF,0x0FF,1,17,1,[2211114285],2211110754
16463.0,Flare 2211110815,Solar Flare,xray-cpd,2022-11-11T08:11:33,578,60,0xFFFFFFFF,0x0FF,1,13,1,[2211111956],2211110815
16464.0,Flare 2211110828,Solar Flare,xray-cpd,2022-11-11T08:22:36,600,60,0xFFFFFFFF,0x0FF,1,13,1,[2211111289],2211110828
16465.0,Flare 2211110906,Solar Flare,xray-cpd,2022-11-11T08:56:17,1532,20,0xFFFFFFFF,0x0FF,1,26,1,[2211118567],2211110858
16465.0,Flare 2211110906,Solar Flare,xray-cpd,2022-11-11T08:56:17,1532,20,0xFFFFFFFF,0x0FF,1,26,1,[2211118567],2211110906
16491.0,L1 @ 4s,Solar Flare,xray-cpd,2022-11-11T09:00:23,800,4,0xFFFFFFFF,0x0FF,1,22,1,[2211110255],2211110906
16466.0,Flare 2211110944,Solar Flare,xray-cpd,2022-11-11T09:20:28.060,2024,20,0xFFFFFFFF,0x0FF,1,26,1,[2211114687],2211110928
16490.0,Flare 2211110944,Solar Flare,xray-cpd,2022-11-11T09:23:13,617,2,0xFFFFFFFF,0x0FF,1,22,1,[2211112001],2211110928
16466.0,Flare 2211110944,Solar Flare,xray-cpd,2022-11-11T09:20:28.060,2024,20,0xFFFFFFFF,0x0FF,1,26,1,[2211114687],2211110944
16467.0,Flare 2211111019,Solar Flare,xray-cpd,2022-11-11T10:16:52.066,312,312.0,0xFFFFFFFF,0x0FF,1,13,1,[2211113155],2211111019
16468.0,Flare 2211111044,Solar Flare,xray-cpd,2022-11-11T10:39:16.068,716,4,0xFFFFFFFF,0x0FF,1,17,1,[2211112382],2211111044
16468.0,Flare 2211111044,Solar Flare,xray-cpd,2022-11-11T10:39:16.068,716,4,0xFFFFFFFF,0x0FF,1,17,1,[2211112382],2211111056
16469.0,Flare 2211111056,Solar Flare,xray-cpd,2022-11-11T10:49:48.069,616,616.0,0xFFFFFFFF,0x0FF,1,13,1,[2211117066],2211111056
16470.0,Flare 2211111136,Solar Flare,xray-cpd,2022-11-11T11:10:56.072,3676,60,0xFFFFFFFF,0x0FF,1,17,1,[2211116471],2211111136
16425.0,HXI flare: 10s,Solar Flare,xray-cpd,2022-11-11T11:27:49,1778,10,0xFFFFFFFF,0xFF,1,31,1,[2211114421],2211111136
16426.0,HXI flare: 0.5s (second),Solar Flare,xray-cpd,2022-11-11T11:34:20,443,0.5,0xFFFFFFFF,0xFF,1,31,1,[2211112966],2211111136
16428.0,HXI flare: 0.5s (first),Solar Flare,xray-cpd,2022-11-11T11:29:04,318,0.5,0xFFFFFFFF,0xFF,1,31,1,[2211111572],2211111136
16471.0,Flare 2211111346,Solar Flare,xray-cpd,2022-11-11T13:30:48,854,60,0xFFFFFFFF,0x0FF,1,13,1,[2211115723],2211111346
16472.0,Flare 2211111357,Solar Flare,xray-cpd,2022-11-11T13:54:32,331,2,0xFFFFFFFF,0x0FF,1,17,1,[2211118828],2211111346
16489.0,Flare 2211111346,Solar Flare,xray-cpd,2022-11-11T13:44:06,369,1,0xFFFFFFFF,0x0FF,1,22,1,[2211110132],2211111346
16472.0,Flare 2211111357,Solar Flare,xray-cpd,2022-11-11T13:54:32,331,2,0xFFFFFFFF,0x0FF,1,17,1,[2211118828],2211111357
16473.0,Flare 2211111747,Solar Flare,xray-cpd,2022-11-11T17:39:11,1132,60,0xFFFFFFFF,0x0FF,1,17,1,[2211116710],2211111747
16474.0,Flare 2211111805,Solar Flare,xray-cpd,2022-11-11T18:01:16.014,908,60,0xFFFFFFFF,0x0FF,1,17,1,[2211118056],2211111805
16475.0,Flare 2211111833,Solar Flare,xray-cpd,2022-11-11T18:17:24.015,2504,60,0xFFFFFFFF,0x0FF,1,17,1,[2211115828],2211111825
16476.0,Flare 2211112006,Solar Flare,xray-cpd,2022-11-11T20:00:12.026,728,728.0,0xFFFFFFFF,0x0FF,1,13,1,[2211119540],2211112006
16500.0,Flare 2211112147,Solar Flare,xray-cpd,2022-11-11T21:42:03,808,120,0xFFFFFFFF,0x0FF,1,13,1,[2211112507],2211112147
